,편의점 명,상품 명,분류,개당 가격,행사 유형,이미지
112,MINISTOP(미니스톱),마운틴듀355캔,음료,933,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_266.jpg
113,MINISTOP(미니스톱),마운틴듀롱넥400펫,음료,1200,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_294.jpg
114,MINISTOP(미니스톱),마하3터보면도기,생활용품,8500,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_49.jpg
115,MINISTOP(미니스톱),맛단지바나나우유220,음료,933,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_204.jpg
116,MINISTOP(미니스톱),맛도크기도빅,식품,933,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_26.jpg
117,MINISTOP(미니스톱),맛있는숙취해소레디큐,음료,3333,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_296.jpg
118,MINISTOP(미니스톱),매그넘바3종,아이스크림,2400,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_190.jpg
119,MINISTOP(미니스톱),매일)누텔라앤고,과자류,1467,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_132.jpg
120,MINISTOP(미니스톱),매일)도마슈노백도180ml,음료,1200,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_210.jpg
121,MINISTOP(미니스톱),매일)드링킹플레인,음료,1133,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_197.jpg
122,MINISTOP(미니스톱),매일)빅요구르트로어슈거280ml,음료,800,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_229.jpg
123,MINISTOP(미니스톱),매일)아몬드브리즈190ml,음료,667,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_218.jpg
124,MINISTOP(미니스톱),매일)아몬드브리즈바나나190ml,음료,800,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_216.jpg
125,MINISTOP(미니스톱),매일견과,식품,667,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_66.jpg
126,MINISTOP(미니스톱),맥심모카골드믹스컵,음료,600,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_176.jpg
