,편의점 명,상품 명,분류,개당 가격,행사 유형,이미지
355,CU(씨유),삼양)마라탕면컵,식품,1067,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801073211988.jpg
356,CU(씨유),삼양)사또밥오징어,과자류,3000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801073311015.jpg
357,CU(씨유),삼양)쇠고기면컵,식품,733,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801073212244.jpg
358,CU(씨유),삼양사)상쾌환,식품,1933,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801013770087.jpg
359,CU(씨유),삼양사)상쾌환3입기획팩,식품,5667,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801013770155.jpg
360,CU(씨유),샐)고구마그래놀라샐러드,식품,3200,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801068115178.jpg
361,CU(씨유),샐)골든치킨텐더볼샐러드,식품,3200,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801068373448.jpg
362,CU(씨유),샐)에그가먼저닭샐러드,식품,2333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801068378887.jpg
363,CU(씨유),샐)치킨찹찹샐러드,식품,2333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801068371857.jpg
364,CU(씨유),샐)퀴노아바질샐러드,식품,2333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801068371864.jpg
365,CU(씨유),샐)프로방스치킨샐러드,식품,2333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801068373547.jpg
366,CU(씨유),샘표)질러직화육포,식품,3867,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801005013307.jpg
367,CU(씨유),샘표)질러치즈를품은비프,식품,2667,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801005013390.jpg
368,CU(씨유),서울)딸기우유300ml,음료,1000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801115134213.jpg
369,CU(씨유),서울)바나나우유200ml,음료,633,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/92525D14DFDF44AFB0EBDD9EF19F3360.jpg
370,CU(씨유),서울)복숭아우유300ml,음료,1000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801115119777.jpg
